никакой возможность
оперативный хирургия
уездный город
чёрный холодный
сероватый колечко
тоненький поперечный
керосиновый фонарь
бабка этот
приём мой
сторона другой
фельдшер демьян
лампа клеёнка
белый горло
странный муть
тёмный кровь
маленький додерляйн
пятно светящийся
синий громадный
университетский груз
пелагея иванович
сухой глаз
тот пора
медицинский факультет
холодный чай
мой помощник
доктор молодец
один крючок
мой диагноз
дело такой
серебряный трубка
синий цвет
громадный город
один сторона
этот деревня
вертикальный коричневый
малый операционный
мой рана
яркий рисунок
волос сам
мой согласие
один капля
мой жизнь
ножницы крючок
синий свет
щека кукольный
молчание мой
свой легкомыслие
лидка девочка
весь рана
какой-то рисунок
полутёмный коридор
бесшумный круглолицый
змеиный свист
острый нож
сам глупый
нехороший голос
лёгонький лиловатый
способный человек
грыжа сам
мой негодный
крупный снег
сам дело
дверной ручка
каждый вечер
этот расцветка
ноябрьский тьма
второй минута
весь состав
снег приём
трудный страшный
дом мой
старший акушерка-фельдшерица
баба сам
пятый день
хриплый голос
капля кровь
анна николаевич
слабый девочка
плаксивый голос
негодный университетский
громадный щека
такой ребёнок
синий абажур
поперечный положение
круглолицый бабка
белый рваный
голос который
коричневый шрам
доктор фельдшер
всякий случай
страшный дело
ослепительный лампа
каждый день
лиловатый цвет
искусственный голос
этот ночь
круглый юбка
розовый шея
день пятый
двадцатичетырёхлетний врач
наш согласие
красота девочка
блестящий инструмент
этот глушь
собственный спокойствие
старший акушерка
первый мой
глупый баба
тупой зонд
демьян лукич
позвоночный столб
различный том
